id,first_name,last_name,email,gender,ip_address,animal,is_cool,department,latitude,longitude
1,Francklyn,Gino,fgino0@newyorker.com,Male,53.45.162.91,Nubian bee-eater,true,Marketing,69.0736487,33.4255804
2,Crin,Crumby,ccrumby1@is.gd,Female,4.19.100.204,Smith's bush squirrel,true,Marketing,23.797309,115.445538
3,Alonso,Klesse,aklesse2@dagondesign.com,Male,106.150.119.108,Red sheep,false,Human Resources,-23.8182859,-46.0851681
4,Filberto,Scibsey,fscibsey3@pbs.org,Male,159.17.220.21,Grey phalarope,false,Legal,47.1601577,40.224989
5,Janine,Cammish,jcammish4@miibeian.gov.cn,Female,113.240.6.38,Emerald-spotted wood dove,true,Legal,49.566715,17.1679608
6,Annmaria,Ricciardelli,aricciardelli5@marketwatch.com,Female,225.64.143.245,"Peacock, blue",true,Training,46.0466966,-71.0768076
7,Bear,Uc,buc6@furl.net,Male,56.117.127.140,"Magpie, black-backed",true,Training,45.5159664,-73.4049684
8,Tansy,Jizhaki,tjizhaki7@symantec.com,Female,221.170.240.84,Giraffe,true,Support,55.9588361,37.6489954
9,Yuri,Fillon,yfillon8@walmart.com,Male,168.202.179.4,Brazilian otter,true,Services,41.8415239,-8.8186886
10,Aurilia,Matthewes,amatthewes9@tripadvisor.com,Female,204.245.174.17,Cottonmouth,false,Legal,19.75,-104.016667
11,Darcey,Milley,dmilleya@creativecommons.org,Female,119.36.158.140,Crab-eating raccoon,false,Product Management,53.4562426,-6.2071246
12,Melinde,Le Leu,mleleub@merriam-webster.com,Female,225.3.200.202,"Boa, mexican",true,Training,37.261564,111.769893
13,Wilone,Ebbutt,webbuttc@plala.or.jp,Female,232.155.184.172,Black-tailed tree creeper,false,Services,14.7980871,-87.3388767
14,Graham,Daines,gdainesd@homestead.com,Male,33.201.151.196,"Stork, white",true,Training,52.0095284,4.3342058
15,Ephrayim,Nutkin,enutkine@psu.edu,Male,255.221.243.122,"Armadillo, common long-nosed",false,Research and Development,29.584292,111.380014
16,Egbert,Cotterel,ecotterelf@drupal.org,Male,12.70.146.236,Scottish highland cow,true,Training,45.875212,6.087112
17,Aldrich,Aldwich,aaldwichg@wikispaces.com,Male,203.103.45.61,"Dove, rock",false,Support,48.48333,124.48333
18,Way,Fairfull,wfairfullh@blogspot.com,Male,211.209.116.88,Indian peacock,true,Marketing,29.731101,116.251947
19,Lincoln,O'Scandall,loscandalli@wordpress.org,Male,167.7.178.84,White-bellied sea eagle,false,Human Resources,30.5604564,31.0079484
20,Inglebert,Tamlett,itamlettj@weather.com,Male,42.29.122.74,Tyrant flycatcher,true,Human Resources,-28.6903818,26.4577466
21,Ellie,Dymock,edymockk@vk.com,Female,112.77.91.162,"Cormorant, great",false,Support,-25.790615,28.3323137
22,Eldridge,Dunseith,edunseithl@virginia.edu,Male,12.109.209.231,"Phascogale, brush-tailed",true,Sales,27.9805586,94.6884956
23,Harry,Rye,hryem@privacy.gov.au,Male,195.91.66.181,King cormorant,true,Engineering,13.3014073,-15.8686635
24,Gearalt,Lerer,glerern@example.com,Male,207.187.87.229,Tiger snake,true,Legal,12.8383201,-85.4607639
25,Mollie,Lemmen,mlemmeno@about.me,Female,47.4.36.161,"Gecko, tokay",false,Product Management,27.27476,-80.31823
26,Luisa,Betser,lbetserp@exblog.jp,Female,75.13.14.191,Banded mongoose,true,Human Resources,29.7136436,72.49695
27,Nataniel,Faucherand,nfaucherandq@seesaa.net,Male,158.137.157.153,"Eagle, white-bellied sea",true,Services,6.83249,124.454363
28,Barny,Vannuchi,bvannuchir@nba.com,Male,217.140.181.130,Wolf spider,false,Support,8.5524587,-82.6861446
29,Alphard,Purbrick,apurbricks@wiley.com,Male,41.95.251.202,Common mynah,true,Support,44.6658941,20.9335169
30,Dorian,Gobel,dgobelt@paypal.com,Female,231.227.203.167,"Reedbuck, bohor",false,Support,56.0372083,21.8173884
31,Courtney,Trobe,ctrobeu@jalbum.net,Male,28.15.186.154,"Bustard, denham's",true,Engineering,34.620202,112.453926
